Nombre	Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
C25-2-3-04-CO	-13560.0	10876.0	-14200.0	14200.0	5200.0	9700.0
C25-PLM-1-1-01	-44625.0	-38635.0	7690.0	14200.0	-5800.0	-300.0
C25-PLM-1-1-03	-43851.0	-38640.0	4637.5	7540.0	-6700.0	-300.0
C25-PLM-1-1-04	-8400.0	-4325.0	-18375.0	-14500.0	-5800.0	-200.0
C25-PLM-1-1-05	-43845.5	-39637.5	3507.5	5030.5	-6700.0	-300.0
C25-PLM-1-1-06	-4125.0	-100.0	-18375.0	-14500.0	-5800.0	-200.0
C25-PLM-1-1-07	-44622.5	-42930.0	4635.0	6395.0	-6700.0	-300.0
C25-PLM-1-1-08	100.0	4125.0	-18375.0	-14500.0	-5800.0	-200.0
C25-PLM-1-1-09	-44600.0	-39652.5	-4480.0	3352.5	-6700.0	-300.0
C25-PLM-1-1-10	4325.0	8375.0	-18375.0	-14500.0	-5800.0	-200.0
C25-PLM-1-1-11_a	-46400.0	-38700.0	-14200.0	-4680.0	-6700.0	-300.0
C25-PLM-1-1-11_b	-46400.0	-43998.0	-4680.0	2557.0	-5800.0	-300.0
C25-PLM-1-1-12	-7878.0	8375.0	-20075.0	-18575.0	-6900.0	-200.0
C25-PLM-1-1-14	-8400.0	-125.0	-25300.0	-20275.0	-5800.0	-200.0
C25-PLM-1-1-15	8700.0	16850.0	14500.0	25250.0	-5800.0	4900.0
C25-PLM-1-1-16	8625.0	16850.0	-27700.0	-14500.0	-5800.0	4900.0
C25-PLM-1-1-18	-12740.0	-8650.0	-25300.0	-20275.0	-6900.0	-300.0
C25-PLM-1-1-19	-51620.93516	-51620.93516	7150.0	9851.0	-5800.0	-350.0
C25-PLM-1-1-20	-17000.0	-12940.0	-25300.0	-21040.0	-6900.0	-300.0
C25-PLM-1-1-21	-40690.0	-36100.0	17450.0	23167.0	-5800.0	-300.0
C25-PLM-1-1-22	125.0	4100.0	-25300.0	-20275.0	-6900.0	-200.0
C25-PLM-1-1-23	-40690.0	-36101.0	-23165.0	-17450.0	-6700.0	-300.0
C25-PLM-1-1-24	4350.0	8375.0	-25300.0	-20275.0	-6900.0	-200.0
C25-PLM-1-1-25_a	34300.0	44020.0	-150.0	25250.0	-6900.0	-300.0
C25-PLM-1-1-25_b	37249.91993	37249.91993	-12450.0	-150.0	-6900.0	5000.0
C25-PLM-1-1-26	-50131.3312	-50131.3312	-9850.0	-7150.0	-5800.0	-350.0
C25-PLM-1-1-27	4350.0	21150.0	25500.0	29750.0	-6900.0	-200.0
C25-PLM-1-1-28	-17000.0	-11305.0	-18375.0	-14500.0	-6900.0	-300.0
C25-PLM-1-1-29	34300.0	44020.0	25500.0	27500.0	-5800.0	-200.0
C25-PLM-1-1-30	-17000.0	-11305.0	-20840.0	-18575.0	-6900.0	-300.0
C25-PLM-1-1-32	34350.0	44070.0	-14200.0	-12650.0	-5800.0	7650.0
C25-PLM-1-1-36	-19900.0	-17300.0	-27700.0	-17450.0	-6900.0	-200.0
C25-PLM-1-1-38	-17000.0	-8650.0	-32087.53188	-32087.53188	-6900.0	-300.0
C25-PLM-1-1-40	-8400.0	4100.0	-27700.0	-25500.0	-6900.0	-300.0
C25-PLM-1-1-42_a	8650.0	11110.66	-29844.52376	-29844.52376	-6900.0	-400.0
C25-PLM-1-1-42_b	4350.0	8350.0	-27700.0	-25500.0	-6900.0	-300.0
C25-PLM-1-2-01_a	-36199.0	-36199.0	14450.0	14450.0	0.0	0.0
C25-PLM-1-2-01_b	-19900.0	-17200.0	5522.5	27500.0	0.0	5000.0
C25-PLM-1-2-02	4325.0	8375.0	-18375.0	-14500.0	0.0	4550.0
C25-PLM-1-2-03	-17200.0	25600.0	25500.0	27500.0	0.0	5000.0
C25-PLM-1-2-04	100.0	4125.0	-18375.0	-14500.0	0.0	4550.0
C25-PLM-1-2-05	-21897.5	-13860.0	-5522.5	10572.0	0.0	5050.0
C25-PLM-1-2-06	-4125.0	-100.0	-18375.0	-14500.0	0.0	4550.0
C25-PLM-1-2-07	25600.0	44120.0	14450.0	27525.0	0.0	4900.0
C25-PLM-1-2-08	-8400.0	-4325.0	-18375.0	-14500.0	0.0	4550.0
C25-PLM-1-2-09	37075.0	44120.0	-150.0	14150.0	0.0	5000.0
C25-PLM-1-2-10_a	8650.0	16850.0	-27700.0	-25500.0	0.0	4900.0
C25-PLM-1-2-10_b	100.0	8650.0	-27700.0	-25500.0	0.0	4550.0
C25-PLM-1-2-11	-8400.0	8400.0	14500.0	25250.0	0.0	5000.0
C25-PLM-1-2-12_a	-6930.0	8375.0	-20075.0	-18575.0	0.0	4550.0
C25-PLM-1-2-12_b	-8400.0	-6930.0	-22809.0	-18575.0	0.0	4550.0
C25-PLM-1-2-14_a	-6730.0	8375.0	-25300.0	-20275.0	0.0	4550.0
C25-PLM-1-2-14_b	-8400.0	-6730.0	-25300.0	-23009.0	0.0	4550.0
C25-PLM-1-2-16_a	-19900.0	-100.0	-27700.0	-25500.0	0.0	5050.0
C25-PLM-1-2-16_b	-11104.0	-8600.0	-25500.0	-20080.0	0.0	5050.0
C25-PLM-1-2-17	-16900.0	-8700.0	14500.0	25250.0	0.0	5000.0
C25-PLM-1-2-18	-19900.0	-17200.0	-25300.0	-5677.5	0.0	5050.0
C25-PLM-1-2-19	17150.0	25400.0	14500.0	25250.0	0.0	5000.0
C25-PLM-1-2-20	37050.0	44020.0	-25200.0	-14500.0	0.0	4900.0
C25-PLM-1-2-21	-16950.0	-12825.0	27750.0	31150.0	-600.0	4950.0
C25-PLM-1-2-215	17150.0	21250.0	27750.0	31250.0	-600.0	4950.0
C25-PLM-1-2-23	-12675.0	-8575.0	27750.0	31150.0	-600.0	4950.0
C25-PLM-1-2-27	21400.0	25500.0	27750.0	31250.0	-600.0	4950.0
C25-PLM-1-2-29	25600.0	34050.0	14500.0	17250.0	0.0	5000.0
C25-PLM-1-2-41	31810.0	33926.0	27800.0	28799.447	10000.0	13850.0
C25-PLM-1-3-01	-19900.0	-17200.0	-27700.0	27500.0	5200.0	9700.0
C25-PLM-1-3-02_a	-12802.0	-11302.0	-27700.0	-17280.0	5200.0	9700.0
C25-PLM-1-3-02_b	-11302.0	-8600.0	-27700.0	-25500.0	5200.0	9700.0
C25-PLM-1-3-02_c	-11160.0	8600.0	-31576.01491	-31576.01491	5200.0	9850.0
C25-PLM-1-3-02_d	8600.0	11160.0	-29847.23892	-29847.23892	5200.0	9850.0
C25-PLM-1-3-02_e	11160.0	12808.0	-27700.0	-18540.0	5200.0	9800.0
C25-PLM-1-3-03	-16900.0	-11100.0	14500.0	25200.0	5200.0	9700.0
C25-PLM-1-3-04	-17100.0	-13860.0	-3475.0	1705.0	5200.0	9850.0
C25-PLM-1-3-05	10949.0	16850.0	14500.0	24565.0	5200.0	9700.0
C25-PLM-1-3-06	8600.0	11110.0	-23327.0	-20030.0	5200.0	9800.0
C25-PLM-1-3-07_a	-17200.0	10749.0	25500.0	27500.0	5200.0	9700.0
C25-PLM-1-3-08	-11102.0	-8600.0	-23327.0	-20030.0	5200.0	9700.0
C25-PLM-1-3-09	-8500.0	-4450.0	17250.0	25200.0	5200.0	9700.0
C25-PLM-1-3-10	-17000.0	-13002.0	-25300.0	-18715.0	5200.0	9700.0
C25-PLM-1-3-11	-16950.0	-8575.0	27750.0	30995.0	4400.0	9700.0
C25-PLM-1-3-12	-11102.0	-8600.0	-19830.0	-16473.0	5200.0	9700.0
C25-PLM-1-3-13	17150.0	25500.0	27800.0	31100.0	4400.0	9800.0
C25-PLM-1-3-14	-8400.0	8400.0	-27750.0	-14500.0	4700.0	10000.0
C25-PLM-1-3-15	-8500.0	-4450.0	14500.0	17100.0	5200.0	9700.0
C25-PLM-1-3-17	4400.0	8499.0	17250.0	25250.0	5200.0	9700.0
C25-PLM-1-3-18	8600.0	11110.0	-19830.0	-16473.0	5200.0	9800.0
C25-PLM-1-3-20	12958.0	16850.0	-20745.0	-18700.0	5200.0	9800.0
C25-PLM-1-3-22	12958.0	16850.0	-22402.5	-20905.0	5200.0	9800.0
C25-PLM-1-3-23	4400.0	8499.0	14500.0	17100.0	5200.0	9700.0
C25-PLM-1-3-24	11310.0	16850.0	-18540.0	-14500.0	5200.0	9800.0
C25-PLM-1-3-25	-10900.0	-8700.0	15520.0	25200.0	5200.0	9700.0
C25-PLM-1-3-26	12958.0	16850.0	-27700.0	-22557.5	5200.0	9800.0
C25-PLM-1-3-27	8699.0	10749.0	14500.0	25300.0	5200.0	9700.0
C25-PLM-1-3-28	-11102.0	-8600.0	-25300.0	-23527.0	5200.0	9700.0
C25-PLM-1-3-29	10949.0	18650.0	24765.0	27500.0	5200.0	9700.0
C25-PLM-1-3-30	-17200.0	-13002.0	-27700.0	-25500.0	5200.0	9700.0
C25-PLM-1-3-32	8600.0	11110.0	-25300.0	-23527.0	5200.0	9800.0
C25-PLM-1-3-33	-4150.0	4100.0	14500.0	25250.0	5200.0	9700.0
C25-PLM-1-3-34	8600.0	11110.0	-16273.0	-14500.0	5200.0	9800.0
C25-PLM-1-3-36	-11102.0	-8600.0	-16273.0	-14500.0	5200.0	9700.0
C25-PLM-1-4-02	-8350.0	-100.0	-27751.0	-14500.0	10200.0	14900.0
C25-PLM-1-4-04	100.0	8400.0	-27751.0	-14500.0	10200.0	14900.0
C25-PLM-2-0-01	5450.0	16810.0	6000.0	10400.0	-12100.0	-6100.0
C25-PLM-2-0-02	5450.0	16810.0	-10400.0	-6000.0	-12100.0	-6100.0
C25-PLM-2-0-03	10700.0	16810.0	1800.0	4600.0	-12100.0	-6400.0
C25-PLM-2-0-04	10700.0	16810.0	-4600.0	-1800.0	-12100.0	-6400.0
C25-PLM-2-0-05-N1	16810.0	26275.0	-1000.0	1000.0	-12100.0	-6400.0
C25-PLM-2-0-05-N2	26275.0	30275.0	-10400.0	10400.0	-12100.0	-6100.0
C25-PLM-2-0-06	17610.0	24875.0	-4600.0	-1200.0	-12100.0	-6400.0
C25-PLM-2-0-07	17610.0	24875.0	1200.0	4600.0	-12100.0	-6400.0
C25-PLM-2-0-08	17010.0	26075.0	-10400.0	-6000.0	-12100.0	-6100.0
C25-PLM-2-0-09	17010.0	26075.0	6000.0	10400.0	-12100.0	-6100.0
C25-PLM-2-0-C04	10700.0	16810.0	-1115.0	1115.0	-12100.0	-6400.0
C25-PLM-2-1-01	-17100.0	-13860.0	-3475.0	3475.0	-5800.0	-150.0
C25-PLM-2-1-02	-17100.0	-13860.0	-8000.0	-3675.0	-5800.0	-150.0
C25-PLM-2-1-03	-17100.0	-13860.0	3675.0	8000.0	-5800.0	-150.0
C25-PLM-2-1-04-CO	-13560.0	10700.0	-14200.0	14200.0	-5720.0	-300.0
C25-PLM-2-1-04-E1	11180.0	26270.0	-14200.0	-9000.0	-5720.0	-300.0
C25-PLM-2-1-04-E2	10700.0	11180.0	-14200.0	-6000.0	-5720.0	-300.0
C25-PLM-2-1-04-N	26270.0	34050.0	-14200.0	14200.0	-5720.0	-300.0
C25-PLM-2-1-04-O1	10880.0	26270.0	10700.0	14200.0	-5720.0	-300.0
C25-PLM-2-1-04-O2	10700.0	10880.0	6000.0	14200.0	-5720.0	-300.0
C25-PLM-2-1-05	21470.0	24870.0	-2250.0	-400.0	-5800.0	-1000.0
C25-PLM-2-1-06	-24803.0	-17300.0	7561.0	7561.0	-6700.0	-150.0
C25-PLM-2-1-07	-19899.0	-8700.0	14500.0	27500.0	-6900.0	-200.0
C25-PLM-2-1-09	-8400.0	-100.0	14500.0	27500.0	-6900.0	-200.0
C25-PLM-2-1-11	100.0	8400.0	14500.0	27500.0	-6900.0	-200.0
C25-PLM-2-1-12	11380.0	15680.0	-9000.0	-6000.0	-5800.0	-300.0
C25-PLM-2-1-13	34350.0	37795.0	150.0	3475.0	-6900.0	-300.0
